,금일,계좌,평가금액,,,,
7,4471,KODEX,국채선물10년인버스,정규장현금매도,47650,11,524150
8,4472,TIGER,원유선물인버스(H),정규장현금매도,5021,324,1626804
,금일,계좌,평가금액,,,,
2022-01-03,15:20:21,,,,,,
0,490658057,,,,,,
,주문번호,종목명,주문내용,체결단가,체결수량,체결금액,
0,1555,경남스틸,정규장현금매수,5263,4825,25393975,
1,2534,바른손,정규장현금매수,6300,4037,25433100,
2,2993,바른손,정규장현금매도,6340,4037,25594580,
3,2994,경남스틸,정규장현금매도,5170,4825,24945250,
4,2995,KODEX,국채선물10년인버스,정규장현금매도,47945,2,95890
5,2996,TIGER,원유선물인버스(H),정규장현금매도,0,0,0
,금일,계좌,평가금액,,,,
2022-01-04,15:20:05,,,,,,
0,490197511,,,,,,
,주문번호,종목명,주문내용,체결단가,체결수량,체결금액,
0,1993,휴마시스,정규장현금매수,16900,2019,34121100,
1,2143,경남스틸,정규장현금매수,5842,5842,34128964,
2,3687,경남스틸,정규장현금매도,5963,5842,34835846,
3,3688,KODEX,국채선물10년인버스,정규장현금매도,47905,7,335335
4,3689,휴마시스,정규장현금매도,16699,2019,33715281,
5,3692,TIGER,원유선물인버스(H),정규장현금매도,0,0,0
,금일,계좌,평가금액,,,,
2022-01-05,15:20:06,,,,,,
0,488210147,,,,,,
,주문번호,종목명,주문내용,체결단가,체결수량,체결금액,
0,791,대영포장,정규장현금매수,2830,11659,32994970,
1,1978,바른손,정규장현금매수,6241,5288,33002408,
2,2788,대영포장,정규장현금매수,2698,7597,20496706,
3,3617,휴마시스,정규장현금매수,17049,1203,20509947,
4,3758,대영포장,정규장현금매도,2709,19256,52164504,
5,3759,바른손,정규장현금매도,5981,5288,31627528,
6,3760,KODEX,국채선물10년인버스,정규장현금매도,48235,5,241175
7,3762,휴마시스,정규장현금매도,16700,1203,20090100,
8,3763,TIGER,원유선물인버스(H),정규장현금매도,5000,15,75000
,금일,계좌,평가금액,,,,
2022-01-06,15:20:08,,,,,,
0,488552750,,,,,,
,주문번호,종목명,주문내용,체결단가,체결수량,체결금액,
0,1498,휴마시스,정규장현금매수,17193,1785,30689505,
1,1499,휴마시스,정규장현금매수,17196,1785,30694860,
2,4184,KODEX,국채선물10년인버스,정규장현금매도,0,0,0
3,4185,휴마시스,정규장현금매도,16950,3570,60511500,
4,4187,TIGER,원유선물인버스(H),정규장현금매도,0,0,0
,금일,계좌,평가금액,,,,
2022-01-10,15:20:23,,,,,,
0,487826707,,,,,,
,주문번호,종목명,주문내용,체결단가,체결수량,체결금액,
0,4033,KODEX,국채선물10년인버스,정규장현금매도,0,0,0
1,4034,TIGER,원유선물인버스(H),정규장현금매도,0,0,0
,금일,계좌,평가금액,,,,
2022-01-11,15:20:23,,,,,,
0,487880050,,,,,,
,주문번호,종목명,주문내용,체결단가,체결수량,체결금액,
0,3476,SK하이닉스,정규장현금매수,127869,322,41173818,
